2021-06-28/13:50:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-06-28/13:50:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-06-28/13:50:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-06-28/13:50:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-06-28/13:50:33		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-06-28/13:50:34		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-06-28/13:50:36		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-06-28/13:50:37		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-06-28/13:50:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-06-28/15:06:03		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-06-28/15:06:04		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-06-28/15:06:05		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-06-28/15:06:06		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-06-28/15:06:07		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-06-28/15:06:07		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-06-28/15:06:09		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-06-28/15:06:10		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-06-28/15:06:11		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-06-29/09:49:51		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-06-29/09:49:52		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-06-29/09:49:53		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-06-29/09:49:54		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-06-29/09:49:59		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-06-29/09:49:59		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-06-29/09:50:01		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-06-29/09:50:03		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-06-29/09:50:03		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-06-29/10:01:21		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-06-29/10:01:22		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-06-29/10:01:23		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-06-29/10:01:24		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-06-29/10:01:25		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-06-29/10:01:25		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-06-29/10:01:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-06-29/10:01:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-06-29/10:01:28		 wafer_29012020_050617.csv: File Transformed successfully!!
